promo,price,marketing,month,sales,success
1,71,87,9,52.13304793826662,1
0,83,98,10,40.24207005254991,0
1,57,85,10,82.85544999429163,1
0,18,46,2,73.71425415589464,1
1,16,32,2,71.88421195059722,1
0,42,97,5,120.14402698690996,1
0,51,24,5,0.0,0
0,55,41,9,0.0,0
0,25,7,2,0.0,0
0,50,79,5,67.39397054420989,1
1,30,64,3,101.82899783370557,1
0,68,8,3,0.0,0
1,79,22,3,0.0,0
0,65,55,3,9.458432328293366,0
0,1,54,7,101.43135049575473,1
1,99,80,5,0.0,0
1,3,26,6,56.66949104666255,1
0,99,92,6,0.0,0
0,4,44,9,70.30963215733746,1
1,52,82,11,90.8139394397937,1
1,11,23,7,25.111935946000266,0
1,10,3,8,0.0,0
0,68,5,9,0.0,0
0,73,37,9,0.0,0
1,12,95,2,198.09003632935014,1
1,97,4,12,0.0,0
0,32,36,2,29.231745839728877,0
0,32,10,5,0.0,0
0,30,93,8,121.23615581876027,1
1,46,67,5,78.46906479424375,1
0,18,76,3,130.98644765605422,1
0,43,71,12,77.02540883532065,1
0,21,65,1,100.47244739350775,1
1,6,77,3,166.76546279731812,1
0,37,0,12,0.0,0
0,67,86,9,36.78260110033347,0
0,76,73,2,17.640533680501168,0
0,35,73,10,79.14425135607286,1
1,33,39,12,48.14903793311306,1
0,78,80,2,28.747721505627926,0
0,68,38,5,0.0,0
1,83,4,6,0.0,0
0,90,90,2,27.6302859936854,0
1,82,23,3,0.0,0
1,93,10,3,0.0,0
0,42,62,3,60.861484559690176,1
1,40,23,5,0.0,0
0,32,85,6,94.48916491936542,1
1,24,44,3,71.07688321780718,1
0,75,0,4,0.0,0
1,71,95,3,98.0283604494191,1
1,80,51,10,0.0,0
1,17,26,3,50.977400592442635,1
0,49,67,11,52.835977337318866,1
0,22,53,7,40.833409261546024,0
0,89,2,10,0.0,0
0,27,75,8,81.82749310112342,1
1,15,40,4,78.32023150512907,1
0,57,69,8,22.97316171020932,0
1,88,89,4,48.68318599516361,1
1,91,61,2,0.0,0
0,10,67,4,107.7738015791945,1
0,33,25,4,0.0,0
1,16,23,2,51.55127968461079,1
0,31,41,1,38.88535460724545,0
0,53,85,12,86.98805364878385,1
1,28,52,7,63.88657874050414,1
1,7,34,5,74.78200464430402,1
0,51,77,12,71.12862528722768,1
0,6,85,3,159.96831494439758,1
0,23,90,5,132.6623397178815,1
1,1,29,11,81.94209477853916,1
1,9,70,8,124.68750969940322,1
1,44,59,5,58.29611961276349,1
1,85,44,4,0.0,0
1,77,39,1,0.0,0
0,10,11,2,2.3413547062824094,0
0,4,27,2,54.06981222428537,1
1,34,54,10,72.57069175493602,1
1,65,88,8,62.607056997013714,1
1,74,86,6,38.879283884355004,0
0,82,18,10,0.0,0
0,34,67,2,86.52703199556274,1
0,17,8,3,0.9247024447886254,0
0,3,67,5,126.32453933825244,1
1,15,34,12,73.29279568106084,1
1,7,44,8,83.55479220072819,1
0,86,71,11,0.0,0
0,27,42,3,56.78715224278049,1
1,82,80,11,40.91528571764033,0
0,55,53,1,12.75855744861671,0
1,54,99,3,133.03330757639452,1
1,46,63,7,55.24714980267171,1
0,82,29,1,0.0,0
0,5,77,11,146.52722912254887,1
1,10,40,11,91.48497626378501,1
1,42,53,7,41.378457959911636,0
0,40,13,4,0.0,0
1,55,11,2,0.0,0
1,74,57,8,0.0,0
1,59,18,7,0.0,0
0,26,99,10,145.08863521196173,1
1,33,85,8,112.48964221333759,1
1,75,70,2,24.846876509475674,0
0,20,73,2,121.48675666922873,1
0,50,59,10,26.186536260655135,0
1,54,6,2,0.0,0
0,75,39,12,0.0,0
0,71,49,2,0.0,0
0,47,91,9,93.85514527592066,1
1,31,21,12,17.50710206364984,0
1,37,49,6,45.532036549466284,1
0,41,34,1,9.2564618075122,0
1,22,13,11,16.90417719736219,0
0,62,10,3,0.0,0
1,21,36,7,43.02034950259954,1
1,65,8,12,0.0,0
1,75,6,9,0.0,0
0,96,35,1,0.0,0
1,12,20,10,45.91167719314403,1
0,76,55,2,0.0,0
1,9,1,9,0.0,0
0,34,30,8,0.0,0
0,18,45,4,66.96152044256579,1
0,17,96,6,151.45858208859684,1
1,18,63,2,115.34331052305758,1
0,5,88,12,179.58351409324234,1
1,82,34,3,0.0,0
0,7,44,4,86.40994019255055,1
0,40,42,7,0.0,0
1,70,88,9,64.99837009935995,1
0,99,95,7,0.0,0
1,85,96,7,37.57720859565535,0
1,14,75,7,132.44351788286144,1
0,98,50,11,0.0,0
0,65,54,5,0.0,0
0,18,98,10,160.3630523658194,1
1,45,28,10,5.1769254223169145,0
1,91,34,12,0.0,0
0,39,89,11,116.70774706716097,1
0,19,38,10,42.35943041992239,1
0,87,23,3,0.0,0
0,95,56,10,0.0,0
1,97,32,9,0.0,0
1,95,89,4,29.71732337281434,0
0,87,90,9,17.458678549982512,0
1,45,30,4,0.0,0
0,20,52,7,53.45791620970897,1
0,62,98,10,77.28089724714404,1
1,22,74,3,145.91014625921565,1
1,47,21,5,0.0,0
1,65,59,10,20.59744906537541,0
0,94,61,6,0.0,0
0,29,65,12,87.61375373723936,1
0,25,2,1,0.0,0
0,73,29,9,0.0,0
1,1,85,10,173.60753606840277,1
1,57,24,12,0.0,0
0,74,29,2,0.0,0
1,55,32,12,1.0463228421268855,0
0,39,17,5,0.0,0
1,83,15,5,0.0,0
0,37,34,5,0.0,0
0,71,87,8,30.778420787406766,0
1,46,0,8,0.0,0
0,3,28,6,53.25952338871089,1
0,53,6,1,0.0,0
0,5,56,12,118.5969858099919,1
0,93,25,3,0.0,0
0,60,79,2,59.244255882068764,1
0,37,58,8,39.6842853790718,0
1,49,78,5,78.63643964098381,1
1,62,63,8,19.54756420725409,0
0,26,43,11,42.28636429283476,1
0,29,86,2,141.42481448345842,1
1,42,47,4,40.286767523045995,0
1,26,94,7,135.34349776929253,1
1,76,99,10,80.06196920046794,1
1,11,58,8,99.04463669663599,1
1,82,67,5,2.952901084344352,0
0,35,25,8,0.0,0
0,56,81,12,69.83148002091116,1
1,16,67,6,119.15170290892353,1
1,39,90,11,125.79592964608085,1
0,75,26,10,0.0,0
1,27,78,4,134.4804436034313,1
0,14,47,3,75.72957612327815,1
1,52,18,10,0.0,0
1,17,17,3,36.74277671628368,0
0,32,56,5,56.35521911436331,1
0,45,31,3,0.0,0
0,56,10,8,0.0,0
1,64,42,4,0.0,0
1,67,65,8,7.4403065550571625,0
0,84,31,12,0.0,0
0,7,95,10,169.3024268384448,1
1,36,77,12,113.40080357116517,1
0,1,51,1,111.65070395244594,1
0,1,93,6,173.2835122178637,1
0,22,43,3,53.17895874806776,1
1,60,13,12,0.0,0
1,89,3,9,0.0,0
0,77,93,4,55.9612083962035,1
1,64,95,7,82.54561179037302,1
1,78,73,8,8.451959929174066,0
0,18,10,6,0.0,0
1,84,29,6,0.0,0
1,89,4,1,0.0,0
0,10,5,6,0.0,0
0,47,24,5,0.0,0
1,83,57,10,0.0,0
1,48,6,11,0.0,0
0,84,98,10,49.018133923008904,1
1,93,45,1,0.0,0
1,47,26,11,0.0,0
0,6,51,5,93.08959417768412,1
1,34,79,5,119.92356174947543,1
0,22,31,12,28.67508530637179,0
1,47,4,11,0.0,0
0,58,5,1,0.0,0
0,46,85,5,71.90424697742907,1
1,20,11,9,0.0,0
0,30,63,7,56.93607895790206,1
1,68,38,4,0.0,0
0,3,77,7,132.7610955213219,1
1,22,6,11,0.0,0
1,89,89,3,53.46894636282004,1
1,10,69,9,140.53442366639072,1
0,42,44,9,0.0,0
0,21,20,11,5.776070419177245,0
1,11,97,4,206.9705301445586,1
1,42,30,3,6.7890036240428495,0
1,52,49,7,15.877651314924716,0
0,18,39,7,26.848168300349325,0
1,8,23,5,48.452107797671395,1
0,14,41,10,51.926650725154246,1
0,65,15,10,0.0,0
1,86,0,3,0.0,0
0,18,28,10,21.32181778342439,0
1,32,11,3,0.0,0
0,35,41,5,14.691064946213096,0
0,36,86,1,121.21081983151046,1
0,25,16,5,0.0,0
1,6,0,12,14.341906134935197,0
1,52,11,6,0.0,0
1,36,50,9,49.29671548529874,1
1,34,27,2,39.47838553159644,0
1,27,48,8,51.85922500935771,1
1,93,2,5,0.0,0
1,61,33,9,0.0,0
0,42,41,12,20.495520844560684,0
0,21,43,7,31.864310195272047,0
0,80,55,2,0.0,0
0,88,78,6,0.0,0
1,4,46,2,114.32233283417108,1
0,93,84,6,0.0,0
0,70,52,1,0.0,0
1,10,26,8,45.3194393862669,1
1,75,22,4,0.0,0
1,11,32,3,64.98807768984665,1
0,6,59,1,111.27726670025334,1
0,12,24,11,23.76318870431371,0
1,46,91,11,116.2944154468447,1
0,62,47,10,0.0,0
0,41,86,1,105.91585326985636,1
0,13,68,5,105.4259711630496,1
1,20,33,12,56.12957057508975,1
1,85,22,7,0.0,0
1,96,74,2,15.47277569545999,0
1,75,33,2,0.0,0
1,11,24,4,51.94090111422441,1
0,82,93,12,46.09486859709582,1
1,69,48,3,0.0,0
0,53,4,11,0.0,0
0,15,49,9,63.92084536676145,1
1,99,46,12,0.0,0
0,44,86,10,89.32214974022678,1
0,5,71,4,126.50215619452926,1
0,21,19,10,0.0,0
1,40,15,3,0.0,0
0,7,60,4,109.65991090344002,1
0,33,4,3,0.0,0
1,47,31,2,6.654061800664128,0
0,94,13,2,0.0,0
1,9,2,3,17.620876266670223,0
1,58,91,2,110.75876570062735,1
1,91,8,5,0.0,0
0,80,0,1,0.0,0
0,92,93,1,38.300047755162886,0
0,17,18,12,22.28868118137372,0
1,80,81,2,51.649002815323605,1
0,97,3,1,0.0,0
0,33,15,1,0.0,0
0,50,11,2,0.0,0
1,53,70,7,47.129788343020664,1
0,49,62,10,37.59304564259627,0
1,29,47,9,62.8532043869662,1
0,97,24,7,0.0,0
0,95,8,2,0.0,0
0,38,56,10,37.199381295931495,0
1,80,23,1,0.0,0
0,40,59,8,35.105129897281834,0
0,79,68,5,0.0,0
1,58,84,11,92.30359581761857,1
1,47,49,4,39.48252123408649,0
1,13,0,8,0.0,0
1,65,28,6,0.0,0
0,32,85,7,106.34824822584042,1
1,22,53,12,98.19398041953127,1
0,20,61,9,80.52629700746978,1
1,98,45,5,0.0,0
1,11,16,6,19.192695942204974,0
1,80,89,9,52.53383820209487,1
1,86,77,5,16.62076934376904,0
1,4,99,3,224.8244028293119,1
1,59,85,6,74.41870007205695,1
1,58,29,1,0.0,0
0,36,25,3,0.0,0
0,67,24,6,0.0,0
0,41,91,10,107.31594633355274,1
1,44,55,10,38.582380163503316,0
0,43,45,4,15.184031754963609,0
0,80,96,6,46.91146896352356,1
0,63,60,2,19.1912697285946,0
1,38,90,10,118.9373525034847,1
1,92,98,3,69.86524442711273,1
1,80,7,10,0.0,0
0,93,36,11,0.0,0
0,73,73,9,2.7429113195896493,0
0,39,81,4,100.87201368680306,1
0,77,14,12,0.0,0
0,33,31,9,0.0,0
1,27,54,8,68.45072239077689,1
1,45,79,11,101.88366366528113,1
1,96,11,11,0.0,0
0,57,60,1,30.185413854273488,0
0,38,29,11,0.0,0
1,46,21,10,0.0,0
0,29,51,3,51.69037436584895,1
0,66,41,4,0.0,0
0,35,63,10,62.49593760249136,1
1,55,31,3,0.0,0
1,37,82,6,109.43864184809019,1
0,32,7,9,0.0,0
1,97,86,8,7.6771594840832424,0
1,35,2,11,0.0,0
1,7,73,2,164.6246862337685,1
1,38,34,4,21.700797476567384,0
0,53,38,12,0.7031984938791513,0
1,10,1,7,0.0,0
0,31,70,3,96.69894052147899,1
1,17,16,4,16.664701899725802,0
1,50,65,5,55.79857927054074,1
1,72,72,7,18.57160853638468,0
1,96,84,4,8.435112554444988,0
1,39,70,8,78.08493391432442,1
1,86,30,6,0.0,0
1,22,73,8,102.2437142493494,1
1,78,82,2,61.45809449171564,1
0,56,31,8,0.0,0
1,76,12,12,0.0,0
1,75,89,2,78.45503624110175,1
0,53,14,4,0.0,0
1,26,59,9,87.84078310447897,1
1,53,23,8,0.0,0
1,82,12,9,0.0,0
1,97,77,7,0.0,0
0,92,14,9,0.0,0
1,18,67,8,110.13732668361274,1
0,60,69,1,34.61216919325824,0
1,11,6,10,10.886549260259484,0
1,67,17,6,0.0,0
0,99,79,1,0.0,0
0,6,50,5,92.9068113693644,1
0,66,12,6,0.0,0
0,94,99,2,42.09416241792526,1
0,84,26,12,0.0,0
0,39,0,3,0.0,0
0,11,92,4,163.04137810167245,1
0,92,1,6,0.0,0
1,92,55,10,0.0,0
0,58,99,9,78.64446842206324,1
0,97,57,10,0.0,0
0,1,58,3,123.7652001219699,1
1,62,38,11,0.0,0
0,4,12,10,15.440839159330933,0
1,93,57,6,0.0,0
0,68,89,7,42.353336971471556,1
0,91,9,1,0.0,0
0,56,88,10,73.08681016095524,1
0,9,41,12,78.92092136234766,1
1,3,53,6,106.43368704231376,1
0,34,16,7,0.0,0
0,74,62,6,0.0,0
1,15,18,1,46.22524116456988,1
1,85,27,8,0.0,0
1,24,72,9,106.6864898846045,1
1,50,5,12,0.0,0
1,21,44,12,81.63445559146301,1
0,47,59,6,13.83110132585536,0
1,45,13,12,0.0,0
0,1,29,7,39.820831940392004,0
0,57,34,8,0.0,0
1,78,66,8,0.0,0
1,93,97,12,57.62353343010265,1
1,33,83,9,122.49477289295824,1
0,88,18,2,0.0,0
1,87,1,1,0.0,0
0,98,5,5,0.0,0
1,37,59,7,61.87560996026172,1
1,85,15,9,0.0,0
1,56,23,6,0.0,0
1,6,84,7,167.65835059737455,1
1,27,87,12,152.38510843716497,1
0,67,83,5,39.77861589755419,0
0,16,25,6,1.9159479902991716,0
0,44,61,7,25.7448493903957,0
1,77,61,6,0.0,0
0,15,18,12,23.65188928811446,0
0,50,55,12,26.143849168826804,0
1,22,52,7,79.0266265633181,1
1,54,39,6,0.0,0
1,24,75,8,109.72428695422974,1
1,96,67,3,0.0,0
1,8,53,6,102.65730076181958,1
0,96,72,3,0.0,0
1,79,76,2,42.6845883819414,1
1,85,56,2,0.0,0
1,85,26,8,0.0,0
0,19,75,1,125.3762881414931,1
1,93,71,8,0.0,0
1,59,98,6,100.25078413833786,1
1,96,14,5,0.0,0
0,87,41,10,0.0,0
1,58,92,7,85.96636026441412,1
1,38,51,9,49.30104739468367,1
1,12,94,9,182.437125141556,1
0,11,1,1,0.0,0
1,39,3,3,0.0,0
1,81,79,7,21.861207472433783,0
0,51,35,12,0.0,0
1,48,52,2,54.203454796531396,1
0,25,42,2,52.22072160099832,1
1,56,40,12,4.353007111306898,0
0,64,93,12,76.01581643560176,1
1,98,9,3,0.0,0
1,73,77,5,38.15763856643911,0
1,61,88,8,80.74151643164717,1
1,91,65,3,0.0,0
1,43,39,4,25.71628004350185,0
0,93,16,5,0.0,0
0,37,68,8,50.45281223883921,1
1,13,46,4,82.7711815383455,1
1,42,14,5,0.0,0
0,13,35,4,46.12620851087902,1
0,12,96,10,166.63621414162444,1
1,88,26,2,0.0,0
1,79,17,3,0.0,0
0,22,68,3,101.64731896407129,1
0,83,19,11,0.0,0
0,7,91,12,181.64907663278268,1
1,29,85,7,119.09820153078432,1
0,70,98,2,80.15983388961496,1
1,31,91,10,140.80283179416293,1
0,73,24,6,0.0,0
0,87,21,11,0.0,0
1,7,34,5,72.33372866167014,1
1,3,46,12,114.60225529205785,1
1,94,87,10,19.782863497496976,0
1,52,73,3,82.30049164546706,1
1,51,64,9,42.921282687838435,1
1,46,87,4,118.31556686717877,1
1,43,64,5,74.11963658616449,1
0,69,37,4,0.0,0
0,58,41,9,0.0,0
1,17,51,4,93.86216826067117,1
0,63,8,8,0.0,0
1,67,74,7,41.56864361817188,1
1,12,65,10,127.28304367724611,1
0,38,73,12,78.73292730595159,1
1,79,53,1,0.0,0
0,62,78,12,60.56431871654504,1
1,14,94,2,195.35227318785388,1
0,4,56,7,96.11791999274477,1
0,58,44,5,0.0,0
1,46,10,8,0.0,0
1,96,77,9,0.0,0
0,52,90,11,81.2778704341128,1
1,93,69,5,0.0,0
1,22,86,12,168.8342113132275,1
0,45,86,4,85.111439509113,1
1,14,79,3,156.4025160204305,1
1,57,50,5,8.579584736347716,0
0,19,9,7,0.0,0
1,49,0,9,0.0,0
1,35,20,10,0.3354278706360523,0
1,19,43,3,86.57174164545849,1
1,10,74,4,156.1366187681874,1
1,51,45,12,28.928151571719425,0
0,94,2,6,0.0,0
1,20,21,3,31.690088223433126,0
0,41,97,12,134.48605176778304,1
1,23,98,6,159.039778728204,1
0,81,37,12,0.0,0
0,42,80,12,100.33071251059414,1
0,97,71,11,0.0,0
1,25,93,7,146.45868066734573,1
0,8,88,10,159.94129550370397,1
0,58,62,12,15.29240814949663,0
1,65,39,4,0.0,0
1,99,62,1,0.0,0
0,87,31,4,0.0,0
1,88,34,8,0.0,0
0,63,60,7,0.0,0
0,36,57,1,57.15921975458859,1
1,43,58,7,44.23273260802872,1
0,14,38,3,61.13777742040412,1
1,43,40,7,9.514415520060673,0
1,37,1,7,0.0,0
1,4,60,8,124.33659118674838,1
0,21,57,5,67.10957319698487,1
1,53,93,5,107.81824824297986,1
1,37,50,9,49.849648493091195,1
0,99,46,9,0.0,0
0,48,6,10,0.0,0
0,95,19,5,0.0,0
1,66,33,6,0.0,0
1,4,37,4,85.93621652177227,1
0,21,36,7,19.69199238365339,0
1,70,39,2,0.0,0
1,54,76,6,58.47784819411393,1
1,30,13,3,0.0,0
0,52,33,7,0.0,0
0,90,16,11,0.0,0
0,39,30,12,0.0,0
1,5,68,6,136.87180469826163,1
1,31,4,1,0.0,0
1,93,33,3,0.0,0
0,76,2,2,0.0,0
0,83,95,10,49.23096399083841,1
0,91,72,12,0.0,0
1,12,24,7,28.475056873194248,0
0,28,19,3,0.8378705153084303,0
1,6,9,1,36.7026401745125,0
1,1,47,12,113.3181618057689,1
0,83,75,4,9.35780862616753,0
0,93,58,2,0.0,0
0,16,88,3,162.4302612552395,1
1,72,34,4,0.0,0
1,53,27,8,0.0,0
0,7,47,11,88.809081806135,1
0,91,20,4,0.0,0
1,87,97,9,45.43181264351478,1
0,57,18,1,0.0,0
0,71,47,1,0.0,0
0,40,52,1,51.05530223402495,1
0,79,5,12,0.0,0
0,45,46,7,0.5335428705354994,0
1,98,45,10,0.0,0
1,7,25,1,74.81099535400605,1
1,18,12,1,29.620131536439423,0
1,96,4,11,0.0,0
1,29,0,2,0.0,0
0,31,48,2,51.192656409429986,1
0,79,8,7,0.0,0
1,19,95,8,159.42972644452576,1
0,51,24,3,0.0,0
1,29,65,6,78.6932482903768,1
1,20,67,9,116.76323777275469,1
0,96,49,6,0.0,0
1,20,88,5,160.18922586852943,1
1,10,11,1,42.49888097174175,1
0,67,23,6,0.0,0
0,86,25,10,0.0,0
1,13,13,8,8.1209254415446,0
1,71,29,11,0.0,0
0,54,31,2,0.0,0
1,83,76,1,39.03981419434159,0
0,13,30,7,20.620743755398436,0
1,97,87,3,31.727483870831406,0
1,62,77,8,43.68540137287401,1
0,84,90,11,39.9827876307905,0
1,36,10,5,0.0,0
1,94,98,7,35.64517312526793,0
1,63,61,9,23.929888148715666,0
0,13,98,2,188.18409675886934,1
0,92,35,11,0.0,0
0,79,95,3,57.854010424280055,1
0,30,58,10,58.05754047772008,1
0,55,7,8,0.0,0
1,39,41,2,43.21283688899587,1
1,54,13,9,0.0,0
1,96,94,3,44.6573168365742,1
0,89,30,8,0.0,0
0,22,22,12,11.818512015692454,0
1,97,55,12,0.0,0
0,44,42,11,11.838287203666768,0
1,70,9,6,0.0,0
1,76,81,7,30.252139967606645,0
0,48,84,4,88.12706638870911,1
0,46,74,12,71.98219437524676,1
0,46,61,6,27.90192984327113,0
0,86,40,10,0.0,0
0,39,54,5,38.51113435675093,0
1,28,52,9,58.69045077024598,1
1,36,16,3,0.0,0
1,20,8,9,0.0,0
